,x,y,l
0,25.0514,5.7475,1.0
1,26.6614,7.3414,1.0
2,25.2653,6.2466,1.0
3,25.2285,4.7447,1.0
4,25.7529,5.1564,1.0
5,24.0785,5.6693,1.0
6,25.2722,6.8676,1.0
7,24.6535,6.2443,1.0
8,26.9834,6.633,1.0
9,25.7437,6.3179,1.0
10,26.4774,7.7416,1.0
11,26.7373,4.4756,1.0
12,27.1812,6.2972,1.0
13,25.4999,5.6739,1.0
14,25.3021,6.1431,1.0
15,23.3609,5.6601,1.0
16,25.5482,5.7107,1.0
17,26.2198,5.7337,1.0
18,25.884,6.3294,1.0
19,24.4649,5.7521,1.0
20,24.7708,6.7572,1.0
21,25.3274,5.6463,1.0
22,25.999,4.8551,1.0
23,25.0238,6.2742,1.0
24,25.8242,6.7848,1.0
25,25.4286,6.2834,1.0
26,27.3445,6.4697,1.0
27,24.6236,6.1178,1.0
28,27.126,6.1109,1.0
29,25.677,5.9085,1.0
30,25.539,6.3777,1.0
31,25.0491,6.0603,1.0
32,26.5924,6.0925,1.0
33,25.217,7.7531,1.0
34,25.2492,5.6486,1.0
35,24.941,5.0184,1.0
36,25.2814,7.5461,1.0
37,24.8191,6.1316,1.0
38,26.0105,6.8377,1.0
39,25.0215,6.564,1.0
40,25.1618,6.3064,1.0
41,25.8955,5.4393,1.0
42,24.8375,5.4416,1.0
43,25.4562,6.702,1.0
44,25.7161,5.5152,1.0
45,26.7212,4.7424,1.0
46,24.4649,7.2471,1.0
47,24.6328,5.3473,1.0
48,25.7253,6.7296,1.0
49,27.1168,5.6946,1.0
50,26.4958,5.9039,1.0
51,25.1158,6.1914,1.0
52,25.6103,7.6197,1.0
53,26.3026,6.7802,1.0
54,24.7915,6.2627,1.0
55,25.0997,5.8004,1.0
56,25.4838,7.0148,1.0
57,25.4217,7.3138,1.0
58,27.1306,6.9573,1.0
59,24.3338,5.1679,1.0
60,24.6236,5.6877,1.0
61,25.5183,4.8229,1.0
62,26.39,7.0401,1.0
63,24.3039,4.8827,1.0
64,25.5275,4.9333,1.0
65,24.8973,7.1919,1.0
66,24.7731,6.0925,1.0
67,26.5855,6.8423,1.0
68,25.6356,5.6371,1.0
69,26.7718,5.5336,1.0
70,24.8536,5.5152,1.0
71,25.8587,5.2208,1.0
72,25.2538,5.5727,1.0
73,25.4838,4.9333,1.0
74,25.5436,5.9844,1.0
75,23.1838,5.7314,1.0
76,27.7102,6.2535,1.0
77,25.1204,4.6504,1.0
78,25.2538,5.5681,1.0
79,25.5137,6.357,1.0
80,27.2249,5.5727,1.0
81,24.6581,5.9936,1.0
82,25.1894,5.4991,1.0
83,25.2446,5.9591,1.0
84,24.8007,4.4158,1.0
85,26.275,5.5888,1.0
86,25.8748,6.5456,1.0
87,24.6328,6.7503,1.0
88,24.8766,4.4664,1.0
89,26.4498,6.6997,1.0
90,25.148,5.9292,1.0
91,24.5914,5.8004,1.0
92,25.6954,5.9867,1.0
93,26.344,5.9522,1.0
94,26.8224,5.667,1.0
95,26.1347,5.0161,1.0
96,25.263,5.3082,1.0
97,24.6305,6.8354,1.0
98,25.8035,6.1937,1.0
99,26.0243,7.5576,1.0
100,18.4941,12.5877,2.0
101,18.1606,12.5486,2.0
102,17.9628,10.4625,2.0
103,17.7558,12.1231,2.0
104,17.4867,10.6626,2.0
105,16.7139,11.5849,2.0
106,17.259,11.7482,2.0
107,17.4959,11.5596,2.0
108,18.7908,10.497,2.0
109,18.3607,11.8287,2.0
110,17.2038,11.7689,2.0
111,16.96,10.6373,2.0
112,17.2866,12.2933,2.0
113,17.3694,11.5596,2.0
114,17.9858,11.5067,2.0
115,18.0272,12.6176,2.0
116,17.1026,13.1719,2.0
117,17.5212,11.8747,2.0
118,17.512,10.9915,2.0
119,16.7898,12.2128,2.0
120,17.1233,11.6102,2.0
121,18.6137,11.3802,2.0
122,16.7714,11.3871,2.0
123,16.0676,10.8121,2.0
124,17.8041,11.7022,2.0
125,17.8984,9.945,2.0
126,16.638,12.9649,2.0
127,16.4632,10.658,2.0
128,18.5125,11.8425,2.0
129,17.9306,12.1898,2.0
130,17.6132,13.4686,2.0
131,16.7392,11.0306,2.0
132,18.4642,11.7137,2.0
