"id","fname","ename","company","bussiness_group","board","name_type","symbol_status","code"
"1","18719101","IKCQ1","اوراق مشارکت ایران خودرو","خودرو و ساخت قطعات","فهرست اولیه","خاص","فعال","IRB5IKCO8751"
"2","آبادا","NBAB1","تولید نیروی برق آبادان","عرضه برق ، گاز ، بخاروآب گرم","فهرست اولیه","خاص","فعال","IRO1NBAB0001"
"3","آپ","APPE1","آسان پرداخت پرشین","رایانه و فعالیت‌های وابسته به آن","فهرست اولیه","خاص","فعال","IRO1APPE0001"
"4","آسیا","ASIA1","بیمه آسیا","بیمه وصندوق بازنشستگی به جزتامین اجتماعی","تابلو فرعی","عام1","فعال","IRO1ASIA0001"
"5","آسیاتک","ASTC1","انتقال داده‌های آسیاتک","اطلاعات و ارتباطات","فهرست اولیه","خاص","فعال","IRO1ASTC0001"
"6","آکنتور","CONT1","کنتورسازی ایران","ابزارپزشکی ، اپتیکی و اندازه‌گیری","تابلو فرعی","خاص","تعلیق شده","IRO1CONT0001"
"7","آکنتورح","CONX1","ح . کنتورسازی ایران","ابزارپزشکی ، اپتیکی و اندازه‌گیری","تابلو فرعی",,"فعال","IRR1CONT0101"
"8","اخابر","MKBT1","مخابرات ایران","مخابرات","تابلو اصلی","خاص","فعال","IRO1MKBT0001"
"9","اخابرح","MKBX1","ح . مخابرات ایران","مخابرات","تابلو اصلی","خاص","فعال","IRR1MKBT0101"
"10","افق","OFOG1","فروشگاههای زنجیره‌ای افق کوروش","خرده‌فروشی ، باستثنای وسایل نقلیه موتوری","فهرست اولیه","عام1","فعال","IRO1OFOG0001"
"11","افقح","OFOX1","ح . فروشگاه زنجیره‌ای افق کوروش","خرده‌فروشی ، باستثنای وسایل نقلیه موتوری","فهرست اولیه","خاص","فعال","IRR1OFOG0101"
"12","اکالا","BKLA1","کارگزاران بورس کالای ایران","فعالیتهای کمکی به نهادهای مالی واسط","تابلو فرعی","خاص","فعال","IRO1BKLA0001"
"13","اکتیو","ACTV1","پدیده شیمی قرن","محصولات شیمیایی","فهرست اولیه","خاص","فعال","IRO1ACTV0001"
"14","البرز","BALB1","بیمه البرز","بیمه وصندوق بازنشستگی به جزتامین اجتماعی","تابلو اصلی","عام1","فعال","IRO1BALB0001"
"15","البرزح","BABX1","ح . بیمه البرز","بیمه وصندوق بازنشستگی به جزتامین اجتماعی","تابلو اصلی","خاص","فعال","IRR1BALB0101"
"16","امید","OMID1","تامین سرمایه امید","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","عام1","فعال","IRO1OMID0001"
"17","امیدح","OMIX1","ح . تامین سرمایه امید","فعالیتهای کمکی به نهادهای مالی واسط","فهرست اولیه","خاص","فعال","IRR1OMID0101"
